SCHOOL NAME,ADDRESS,CITY,POSTAL CODE,FSA
Loretto Abbey,101 Mason Boulevard,Toronto,M5M 3E2,M5M
Loretto College,151 Rosemount Avenue,Toronto,M6H 2N1,M6H
St Lawrence,2216 Lawrence Avenue East,Scarborough,M1P 2P9,M1P
St Leo,165 Stanley Avenue,Toronto,M8V 1P1,M8V
St Louis,11 Morgan Avenue,Toronto,M8Y 2Z7,M8Y
St Luigi,2 Ruskin Avenue,Toronto,M6P 3P8,M6P
Madonna,20 Dubray Avenue,Toronto,M3K 1V5,M3K
Marshall McLuhan,1107 Avenue Road,Toronto,M5N 3B1,M5N
Mary Ward,3200 Kennedy Road,Scarborough,M1V 3S8,M1V
Michael Power/St Joseph,105 Eringate Drive,Etobicoke,M9C 3Z7,M9C
Mother Cabrini,720 Renforth Drive,Etobicoke,M9C 2N9,M9C
Msgr Fraser (Isabella),146 Isabella Street,Toronto,M4Y 1P6,M4Y
Msgr John Corrigan,100 Royalcrest Road,Toronto,M9V 5B4,M9V
Msgr Percy Johnson,2170 Kipling Avenue,Toronto,M9W 4K9,M9W
St Malachy,80 Bennett Road West Hill,Toronto,M1E 3Y3,M1E
St Marcellus,15 Denfield Street,Toronto,M9R 3H2,M9R
St Margaret,85 Carmichael Avenue,Toronto,M5M 2X1,M5M
St Marguerite Bourgeoys,75 Alexmuir Boulevard,Toronto,M1V 1H6,M1V
St Maria Goretti,21 Kenmark Boulevard,Scarborough,M1K 3N8,M1K
St Mark,45 Cloverhill Rd,Etobicoke,M8Y 1T4,M8Y
St Martha,1865 Sheppard Avenue West,Toronto,M3L 1Y5,M3L
St Martin de Porres,230 Morningside Avenue,Toronto,M1E 3E1,M1E
St Mary,20 Portugal Square,Toronto,M6J 3P2,M6J
St Mary Catholic Academy,66 Dufferin Park Avenue,Toronto,M6H 1J6,M6H
St Mary of the Angels,1477 Dufferin Street,Toronto,M6H 4C7,M6H
St Matthew,18 Lavender Road,Toronto,M6N 2B5,M6N
St Matthias,101 Van Horne Avenue,Toronto,M2J 2S8,M2J
St Maurice,45 Kingsview Boulevard,Toronto,M9R 1T7,M9R
St Michael,50 George Street South,Toronto,M5A 4B2,M5A
St Michael Choir (Sr),67 Bond Street,Toronto,M5B 1X2,M5B
St Monica,14 Broadway Avenue,Toronto,M4P 1T4,M4P
St Mother Teresa Catholic Academy,40 Sewells Road,Scarborough,M1B 3G5,M1B
Nativity of Our Lord,35 Saffron Crescent,Toronto,M9C 3T8,M9C
Neil McNeil,127 Victoria Park Avenue,Toronto,M4E 3S2,M4E
Notre Dame,12 Malvern Avenue,Toronto,M4E 3E1,M4E
St Nicholas,33 Amarillo Drive,Scarborough,M1J 2P7,M1J
St Nicholas of Bari,363 Rogers Road,Toronto,M6E 1R6,M6E
St Norbert,60 Maniza Road,Toronto,M3K 1R6,M3K
Our Lady of the Assumption,125 Glenmount Avenue,Toronto,M6B 3C2,M6B
Our Lady of Fatima,3176 St Clair Avenue East,Scarborough,M1L 1V6,M1L
Our Lady of Grace,121 Brimwood Boulevard,Scarborough,M1V 1E5,M1V
Our Lady of Guadalupe,3105 Road,Toronto,M2J 3C2,M2J
Our Lady of Lourdes,444 Sherbourne Street,Toronto,M4X 1K2,M4X
Our Lady of Peace,70 Mattice Avenue,Toronto,M9B 1T6,M9B
Our Lady of Perpetual Help,1 1/2 Garfield Avenue,Toronto,M4T 1E6,M4T
Our Lady of Sorrows,32 Montgomery Road,Toronto,M8X 1Z4,M8X
Our Lady of Victory,70 Guestville Avenue,Toronto,M6N 4N3,M6N
Our Lady of Wisdom,10 Japonica Road,Scarborough,M1R 4R7,M1R
St Oscar Romero,99 Humber Boulevard,Toronto,M6N 2H4,M6N
Pope Francis,319 Ossington Avenue,Toronto,M6J 3A6,M6J
Precious Blood,1035 Pharmacy Avenue,Scarborough,M1R 2G8,M1R
Prince of Peace,255 Alton Towers Circle,Scarborough,M1V 4E7,M1V
St Paschal Baylon,15 Paschal Court,Toronto,M2M 1X6,M2M
St Patrick Secondary,49 Felstead Avenue,Toronto,M4J 1G3,M4J
St Paul,80 Sackville Street,Toronto,M5A 3E5,M5A
St Paul VI,270 Laughton Avenue,Toronto,M6N 2X8,M6N
