Index,AreaName,Price ($),lat,lng,Address,City
3028,Bendale,769000,43.747349,-79.255836,20 Penzance Dr,Toronto
3029,Rexdale,654000,43.726055,-79.568031,29 Tayrow Rd,Toronto
3030,Mimico,947000,43.621235,-79.49897,28 Algoma St,Toronto
3031,Rouge,899000,43.784172,-79.127228,102 Portwine Dr,Toronto
3032,Downtown,499000,43.663052,-79.386345,#605 - 889 Bay St,Toronto
3033,Humber Summit,799000,43.754292,-79.578156,12 Emily Ave,Toronto
3034,Bendale,569000,43.762436,-79.247223,16 Brantwood Dr,Toronto
3035,The Beach,2189000,43.675526,-79.300285,264 Lee Ave,Toronto
3036,Bendale,599900,43.74881,-79.258537,99 Marcos Blvd,Toronto
3037,Emery,550000,43.746212,-79.540009,199 Habitant Dr,Toronto
3038,Malvern,215999,43.807106,-79.227829,#54 - 42 Pinery Tr,Toronto
3039,Mimico,780000,43.618263,-79.508858,414 Melrose St,Toronto
3040,Milliken,739000,43.811516,-79.280769,9 Danjohn Cres,Toronto
3041,Eatonville,299900,43.640301,-79.562302,#711 - 6 Eva Rd,Toronto
3042,Malvern,529500,43.802151,-79.220016,128 Berner Tr,Toronto
3043,Golden Mile,589000,43.716053,-79.280365,21 Gerigs St,Toronto
3044,Clairlea,589900,43.714607,-79.282372,692 Warden Ave,Toronto
3045,Leslieville,599000,43.666473,-79.328804,105 Alton Ave,Toronto
3046,Rexdale,549900,43.730797,-79.57737,40 Jansusie Rd,Toronto
3047,The Queensway,1499999,43.624435,-79.512314,938 THE QUEENSWAY AVE,Toronto
3048,Hillcrest Village,699900,43.808285,-79.351822,323 CLIFFWOOD RD,Toronto
3049,Armdale,125000,43.829632,-79.254021,#40 - 501 Passmore Ave,Toronto
3050,Bathurst Manor,999900,43.754772,-79.442169,664 Sheppard Ave,Toronto
3051,Newtonbrook,2708,43.79073,-79.417946,#5th Flr - 6075 Yonge St,Toronto
3052,Niagara,646000,43.637432,-79.401039,#Th12 - 20 Bruyeres Mews,Toronto
3053,Downtown,459900,43.642883,-79.380615,#2605 - 55 Bremner Blvd,Toronto
3054,Midtown Toronto,898000,43.672985,-79.387032,#3507 - 825 Church St,Toronto
3055,Toronto,419000,43.653225,-79.383186,#1901 - 20 Minowan Miikan Lane,Toronto
3056,York Mills,398888,43.749531,-79.407188,#820 - 18 William Carson Cres,Toronto
3057,Flemingdon Park,300000,43.719494,-79.337746,#1101 - 797 Don Mills Rd,Toronto
3058,Morningside,345000,43.785278,-79.204994,##52 - 21 Livonia Pl,Toronto
3059,Midtown Toronto,4998000,43.692715,-79.416664,33 VESTA DR,Toronto
3060,Clairlea - Birchmount,579000,43.702419,-79.274368,32 Belanger Cres,Toronto
3061,Downtown,529900,43.660149,-79.360886,#1109 - 170 Sumach St,Toronto
3062,Downsview,495999,43.726528,-79.52282,56 Joseph Griffith Lane,Toronto
3063,Willowdale,368800,43.761196,-79.408951,#2005 - 33 Sheppard Ave,Toronto
3064,Toronto,311900,43.824078,-79.273773,#212 - 80 Alton Towers Circ,Toronto
3065,Woburn,10000,43.78167,-79.247215,36 Lee Centre Dr,Toronto
3066,Willowdale,580000,43.760952,-79.410385,#3B - 4773 Yonge St,Toronto
3067,Downtown,269300,43.663322,-79.376991,#112 - 415 Jarvis St,Toronto
3068,Eglinton East,289900,43.737576,-79.238251,#305 - 330 Mccowan Rd,Toronto
3069,Mount Dennis,549000,43.691414,-79.50309,21 LAXIS AVE,Toronto
3070,Kennedy Park,589900,43.727516,-79.253731,5 Commonwealth Ave,Toronto
3071,Downtown,359900,43.654224,-79.353928,#N910 - 120 Bayview Ave,Toronto
3072,Entertainment District,474800,43.649025,-79.387138,#2206 - 126 Simcoe St,Toronto
3073,Mount Dennis,549000,43.691414,-79.50309,21 LAXIS AVE,Toronto
3074,Newtonbrook,499800,43.780727,-79.419991,#35 - 49 HENDON AVE,Toronto
3075,Kennedy Park,550000,43.722595,-79.254547,42 GRANGER AVE,Toronto
3076,Bayview Village,339000,43.769569,-79.369514,#1505 - 19 SINGER CRT,Toronto
3077,Agincourt,339800,43.807129,-79.26754,#2008 - 5001 Finch Ave,Toronto
3078,Willowdale,379000,43.756668,-79.408623,#308 - 28 Harrison Garden Blvd,Toronto
3079,Wexford - Maryvale,699000,43.753544,-79.310608,2 Robertsfield Cres,Toronto
3080,Eatonville,799000,43.642269,-79.555969,41 Blaketon Rd,Toronto
3081,Willowdale,829000,43.776329,-79.412376,#1516 - 28 SOMMERSET WAY,Toronto
3082,Humber Bay,359000,43.624073,-79.484917,#1103 - 88 PARK LAWN RD,Toronto
3083,Malvern,499000,43.792038,-79.234344,#510 - 19 Rosebank Dr,Toronto
3084,Steeles,624900,43.814575,-79.334763,72 CRAYFORD DR,Toronto
3085,West Hill,499900,43.765007,-79.19281,60 IGNATIUS LANE,Toronto
3086,Toronto,359900,43.653225,-79.383186,9 San Roberto Way,Toronto
3087,Willowdale,638000,43.767403,-79.410599,#1412 - 188 Doris Ave,Toronto
3088,Dorset Park,190000,43.749035,-79.266685,#501 - 101 Prudential Dr,Toronto
3089,Mimico,689000,43.625542,-79.477242,#W L05 - 80 Marine Parade Dr,Toronto
3090,Mimico,464900,43.622589,-79.482445,#3808 - 2212 Lake Shore Blvd,Toronto
3091,Downtown,299900,43.637386,-79.398201,#605 - 38 Dan Leckie Way,Toronto
3092,Rexdale,87900,43.738522,-79.565941,2652 ISLINGTON AVE,Toronto
3093,Humber Bay,1089000,43.624073,-79.484917,#3103 - 88 PARK LAWN RD,Toronto
3094,Rexdale,219900,43.75449,-79.615273,#13 - 32 GOODMARK PL,Toronto
3095,Old Town,490000,43.65406,-79.369118,#Uph13 - 320 RICHMOND ST E,Toronto
3096,Toronto,359900,43.653225,-79.383186,9 San Roberto Way,Toronto
3097,Don Valley Village,319900,43.791103,-79.357162,#812 - 177 LINUS RD E,Toronto
3098,Downtown,369000,43.655956,-79.37291,#604 - 220 GEORGE ST,Toronto
3099,Glen Park,799900,43.708565,-79.468506,27 Eugene St,Toronto
3100,Downtown,574900,43.653973,-79.388565,#3403 - 426 UNIVERSITY AVE,Toronto
3101,Wilson Heights,2800000,43.747173,-79.450569,9 Bowring Walk,Toronto
3102,Jane and Finch,305800,43.740059,-79.509605,#1004 - 1900 Sheppard Ave,Toronto
3103,West Hill,420000,43.767723,-79.174797,#90 - 275 Manse Rd,Toronto
3104,Humber Bay,270000,43.624073,-79.484917,#301 - 88 Park Lawn Rd,Toronto
3105,Niagara,419800,43.637432,-79.401039,#2811 - 20 BRUYERES MEWS,Toronto
3106,Malvern,269900,43.791725,-79.23687,#5A - 6 Rosebank Dr,Toronto
3107,Parkdale,319999,43.635578,-79.441345,#411 - 2167 Lakeshore Blvd,Toronto
3108,Agincourt,608800,43.808712,-79.255737,#15 - 435 Middlefield Rd,Toronto
3109,Downtown,1448000,43.64613,-79.375778,#4605 - 8 The Esplanade St,Toronto
3110,Midtown Toronto,2388000,43.705612,-79.383003,298 Manor Rd,Toronto
3111,Armdale,449900,43.82074,-79.261734,##a4 - 3300 Mcnicoll Ave,Toronto
3112,Willowdale,2787000,43.775288,-79.408012,102 Church Ave,Toronto
3113,Downtown,60000,43.642273,-79.372704,29 Queens Quay,Toronto
3114,Wexford,748000,43.754932,-79.302658,4 Princemere Cres,Toronto
3115,Niagara,5000,43.63966,-79.415771,#2 - 100 Western Battery Rd,Toronto
3116,Wallace Emerson,699000,43.663517,-79.437851,17 Wallace Ave,Toronto
3117,Wallace Emerson,799900,43.663921,-79.446434,55 WARD ST,Toronto
3118,Mimico,419000,43.621613,-79.482918,#2902 - 2230 Lakeshore Blvd,Toronto
3119,Humber Heights - Westmount,698800,43.68832,-79.514221,548 B SCARLETT RD,Toronto
3120,Briar Hill - Belgravia,945000,43.712105,-79.445091,734 Marlee Ave,Toronto
3121,Emery,599000,43.740314,-79.544762,131 ST. LUCIE DR,Toronto
3122,Earlscourt,549900,43.680241,-79.463577,144 Rosethorn Ave,Toronto
3123,Mount Dennis,374000,43.692608,-79.50843,#301 - 74 SIDNEY BELSEY ST,Toronto
3124,Scarborough Village,329999,43.749214,-79.20591,#Th 40 - 3646 KINGSTON RD,Toronto
3125,Willowdale,319900,43.757698,-79.409042,#2509 - 16 HARRISON GARDEN BLVD,Toronto
3126,Willowdale,448800,43.757988,-79.403625,#1030 - 120 HARRISON GARDEN BLVD,Toronto
3127,Willowdale,609000,43.768574,-79.389618,#Th104 - 399 SPRING GARDEN AVE,Toronto
3128,The Queensway,16000,43.623314,-79.516945,#Pkg342 - 1050 THE QUEENSWAY WAY,Toronto
3129,Agincourt,394900,43.778614,-79.281258,#1007 - 151 VILLAGE GREEN SQ,Toronto
3130,Mimico,322800,43.622589,-79.482445,#3005 - 2212 LAKE SHORE BLVD W,Toronto
3131,Eringate - Centennial - West Deane,289000,43.656895,-79.570404,#301 - 714 THE WEST MALL S,Toronto
3132,Islington - City Centre West,299900,43.642925,-79.526726,#312 - 2 FIELDWAY RD,Toronto
3133,Bendale,269000,43.773582,-79.258919,#1606 - 50 BRIAN HARRISON WAY,Toronto
3134,Islington - City Centre West,399900,43.609261,-79.558998,2004 235 Sherway Gardens Road,Toronto
3135,Henry Farm,259900,43.769733,-79.345482,#1409 - 10 PARKWAY FOREST DR,Toronto
3136,Bendale,298000,43.773312,-79.258728,#3602 - 60 BRIAN HARRISON WAY,Toronto
3137,Agincourt,329500,43.777565,-79.281006,#3118 - 135 VILLAGE GREEN SQ,Toronto
3138,Victoria Village,344800,43.723495,-79.303215,#212 - 65 CRANBORNE AVE,Toronto
3139,Bendale,259000,43.773582,-79.258919,#503 - 50 BRIAN HARRISON WAY,Toronto
3140,Downtown,989000,43.64613,-79.375778,#1205 - 8 THE ESPLANADE AVE,Toronto
3141,Midtown Toronto,328888,43.709068,-79.393547,#203 - 170 ROEHAMPTON AVE,Toronto
3142,Emery,499000,43.746689,-79.547523,106 Lanyard Rd,Toronto
3143,Bendale,769900,43.749783,-79.250481,41 Gage Ave,Toronto
3144,Downsview,788800,43.722591,-79.51664,36 Loney Ave,Toronto
3145,Rouge,1199900,43.801319,-79.179985,18 DALI CRES,Toronto
3146,Rustic,775000,43.712666,-79.493423,38 Veerland Dr,Toronto
3147,Midtown Toronto,628800,43.686676,-79.399445,#816 - 111 ST. CLAIR AVE W,Toronto
3148,York University Heights,920000,43.764595,-79.503365,411 MURRAY ROSS PKWY,Toronto
3149,Islington - City Centre West,399900,43.609261,-79.558998,235 Sherway Gardens Road,Toronto
3150,Mimico,309905,43.62001,-79.483086,#905 - 2261 LAKE SHORE BLVD W,Toronto
3151,Newtonbrook,719000,43.788425,-79.390388,#Lph105 - 17 RUDDINGTON DR,Toronto
3152,Humber Bay Shores,525000,43.626965,-79.478485,#3007 - 16 BROOKERS LANE S,Toronto
3153,Agincourt,295000,43.779205,-79.281517,#816 - 181 VILLAGE GREEN SQ W,Toronto
3154,Markland Wood,399900,43.639656,-79.58271,#907 - 820 BURNHAMTHORPE RD,Toronto
3155,Weston,119900,43.700745,-79.517921,1941 WESTON RD,Toronto
3156,Islington - City Centre West,284888,43.609573,-79.557335,#204 - 205 Sherway Gardens Rd,Toronto
3157,Entertainment District,539000,43.641491,-79.382607,#3309 - 19 GRAND TRUNK CRES,Toronto
3158,Humber Bay Shores,1550000,43.631355,-79.474609,#2601 - 2045 LAKE SHORE BLVD W,Toronto
3159,Bayview Village,449900,43.768646,-79.369026,#203 - 72 ESTHER SHINER BLVD,Toronto
3160,Willowdale,399000,43.757988,-79.403625,#1311 - 120 HARRISON GARDEN BLVD,Toronto
3161,Fashion District,590000,43.646156,-79.397179,#Lph 91 - 399 ADELAIDE ST W,Toronto
3162,Islington - City Centre West,343000,43.638172,-79.536194,#1631 - 35 VIKING LANE,Toronto
3163,Willowdale,349000,43.757988,-79.403625,#717 - 120 HARRISON GARDEN BLVD,Toronto
3164,Islington - City Centre West,299000,43.640285,-79.559464,#806 - 1 VALHALLA INN RD,Toronto
3165,Bayview Village,318888,43.768646,-79.369026,#621 - 72 ESTHER SHINER BLVD,Toronto
3166,Roncesvalles Village,650,43.639183,-79.451019,#Gnd Fl- 2217 THE QUEENSWAY WAY,Toronto
3167,Lawrence Heights,420000,43.714592,-79.452911,#Ph2113 - 800 LAWRENCE AVE W,Toronto
3168,Fairbank,599000,43.684696,-79.457497,362 Mcroberts Ave,Toronto
3169,Downtown,327000,43.639095,-79.386475,#201 - 270 QUEENS QUAY W,Toronto
3170,Wexford - Maryvale,649000,43.738956,-79.290405,10 HUGHES PL,Toronto
3171,Carleton Village,699900,43.670303,-79.457619,1988 DAVENPORT RD,Toronto
3172,Swansea,790000,43.64967,-79.476456,131 BERESFORD AVE,Toronto
3173,East Danforth,397500,43.685455,-79.313133,#711 - 2055 DANFORTH AVE,Toronto
3174,Milliken,859000,43.812012,-79.272614,16 BRIDLEY DR,Toronto
3175,Leslieville,989000,43.661396,-79.339134,1010 QUEEN ST E,Toronto
3176,Niagara,539000,43.633461,-79.399681,#172 - 28 STADIUM RD S,Toronto
3177,Downtown,489900,43.650406,-79.392166,#905 - 15 BEVERLEY ST,Toronto
3178,Downtown,329900,43.639343,-79.399841,#1610 - 170 FORT YORK BLVD,Toronto
3179,Woodbine - Lumsden,1100000,43.687271,-79.30703,2328 DANFORTH AVE,Toronto
3180,Downsview,560000,43.726055,-79.513565,126 CHALKFARM DR,Toronto
3181,Toronto,2888800,43.738964,-79.382706,2436 Bayview Ave,Toronto
