SCHOOL NAME,ADDRESS,CITY,POSTAL CODE,FSA
West Glen,47 Cowley Avenue,Etobicoke,M9B 2E4,M9B
Elmlea,50 Hadrian Drive,Etobicoke,M9W 1V4,M9W
Bliss Carman Senior,10 Bellamy Road South,Scarborough,M1M 3N8,M1M
Bedford Park,81 Ranleigh Avenue,Toronto,M4N 1X2,M4N
Lynnwood Heights,50 Southlawn Drive,Agincourt,M1S 1J1,M1S
Wedgewood,5 Swan Avenue,Etobicoke,M9B 1V1,M9B
Flemington,10 Flemington Road,North York,M6A 2N4,M6A
Frankland Community School,816 Logan Avenue,Toronto,M4K 3E1,M4K
Stilecroft,50 Stilecroft Drive,North York,M3J 1A7,M3J
Bloordale,10 Toledo Road,Etobicoke,M9C 2H3,M9C
Cottingham,85 Birch Avenue,Toronto,M4V 1E3,M4V
Claude Watson School for the Arts,130 Doris Avenue,North York,M2N 0A8,M2N
Vradenburg,50 Vradenberg Drive,Agincourt,M1T 1M6,M1T
Courcelette,100 Fallingbrook Road,Scarborough,M1N 2T6,M1N
John English,95 Mimico Avenue,Etobicoke,M8V 1R4,M8V
Kimberley,50 Swanwick Avenue,Toronto,M4E 2Z5,M4E
Rose Avenue,675 Ontario Street,Toronto,M4X 1N4,M4X
Ryerson Community School,96 Denison Avenue,Toronto,M5T 1E4,M5T
Beaches Alternative,50 Swanwick Avenue,Toronto,M4E 2Z5,M4E
Chine Drive,51 Chine Drive,Scarborough,M1M 2K8,M1M
Melody Village,520 Silverstone Drive,Etobicoke,M9V 3L5,M9V
Sprucecourt ,70 Spruce Street,Toronto,M5A 2J1,M5A
Keele Street,99 Mountview Avenue,Toronto,M6P 2L5,M6P
Mountview Alternative,99 Mountview Avenue,Toronto,M6P 2L5,M6P
Arbor Glen,55 Freshmeadow Drive,North York,M2H 3H6,M2H
Lester B Pearson Elementary School,7 Snowcrest Avenue,North York,M2K 2K5,M2K
Second Street,71 Second Street,Etobicoke,M8V 2X4,M8V
Bruce,51 Larchmount Avenue,Toronto,M4M 2Y6,M4M
Westwood,994 Carlaw Avenue,East York,M4K 3M6,M4K
Cosburn,520 Cosburn Avenue,East York,M4J 2P1,M4J
St Andrews,60 Brimorton Drive,Scarborough,M1P 3Z1,M1P
Broadlands,106 Broadlands Boulevard,North York,M3A 1J7,M3A
Wilkinson,53 Donlands Avenue,Toronto,M4J 3N7,M4J
George P Mackie,60 Heathfield Drive,Scarborough,M1M 3B1,M1M
Norman Cook,725 Danforth Road,Scarborough,M1K 1G4,M1K
Briarcrest,60 Wellesworth Drive,Etobicoke,M9C 4R3,M9C
Bendale,61 Benshire Drive,Scarborough,M1H 1M4,M1H
Golf Road,730 Scarborough Golf Club Road,Scarborough,M1G 1H7,M1G
General Brock,140 Chestnut Crescent,Scarborough,M1L 1Y5,M1L
Sir Adam Beck,544 Horner Avenue,Etobicoke,M8W 2C2,M8W
Seneca Hill,625 Seneca Hill Drive,North York,M2J 2W6,M2J
Ellesmere-Statton,739 Ellesmere Road,Scarborough,M1P 2W1,M1P
Braeburn,15 Tandridge Crescent,Etobicoke,M9W 2N8,M9W
Norway,390 Kingston Road,Toronto,M4L 1T9,M4L
Hollycrest,630 Renforth Drive,Etobicoke,M9C 2N6,M9C
Stanley,75 Stanley Road,North York,M3N 1C2,M3N
Blythwood,2 Strathgowan Crescent,Toronto,M4N 2Z5,M4N
Earl Beatty,55 Woodington Avenue,Toronto,M4C 3J6,M4C
Princess Margaret,65 Tromley Drive,Etobicoke,M9B 5Y7,M9B
Kennedy,20 Elmfield Crescent,Scarborough,M1V 2Y6,M1V
Brookhaven,70 Brookhaven Drive,North York,M6M 4N8,M6M
Meadowvale,761 Meadowvale Road,West Hill,M1C 1T1,M1C
Beaumonde Heights,70 Monterrey Drive,Etobicoke,M9V 1T1,M9V
Clairlea,25 Rosalind Crescent,Scarborough,M1L 2X1,M1L
Fairbank Memorial Community School,555 Harvie Avenue,York,M6E 4M2,M6E
Forest Hill,78 Dunloe Road,Toronto,M5P 2T6,M5P
West Preparatory,70 Ridge Hill Drive,Toronto,M6C 2J6,M6C
Firgrove,270 Firgrove Crescent,North York,M3N 1K8,M3N
R H McGregor Elementary School,555 Mortimer Avenue,East York,M4J 2G9,M4J
Mason Road,78 Mason Road,Scarborough,M1M 3R2,M1M
Regent Heights,555 Pharmacy Avenue,Scarborough,M1L 3H1,M1L
Bowmore Road,80 Bowmore Road,Toronto,M4L 3J2,M4L
Indian Road Crescent,285 Indian Road Crescent,Toronto,M6P 2G8,M6P
Bala Avenue Community School,6 Bala Avenue,York,M6M 2E1,M6M
Derrydown,120 Derrydown Road,North York,M3J 1R7,M3J
Harrison,81 Harrison Road,North York,M2L 1V9,M2L
Humber Summit,60 Pearldale Avenue,North York,M9L 2G9,M9L
George B Little,125 Orton Park Road,Scarborough,M1G 3G9,M1G
Donwood Park,61 Dorcot Avenue,Scarborough,M1P 3K5,M1P
Ionview,90 Ionview Road,Scarborough,M1K 2Z9,M1K
Warden Avenue,644 Warden Avenue,Scarborough,M1L 3Z3,M1L
John G Althouse,130 Lloyd Manor Road,Etobicoke,M9B 5K1,M9B
Pringdale Gardens,1325 Danforth Road,Scarborough,M1J 1G5,M1J
Dewson Street,65 Concord Avenue,Toronto,M6H 2N9,M6H
Kingslake,90 Kingslake Road,North York,M2J 3E8,M2J
Topcliff,65 Topcliff Avenue,North York,M3N 1L6,M3N
Robert Service Senior,945 Danforth Road,Scarborough,M1K 1J2,M1K
Warren Park,135 Varsity Road,York,M6S 4P4,M6S
Westmount,95 Chapman Road,Etobicoke,M9P 1E9,M9P
Regal Road,95 Regal Road,Toronto,M6H 2J6,M6H
Sloane,110 Sloane Avenue,North York,M4A 2B1,M4A
George Syme Community School,69 Pritchard Avenue,York,M6N 1T6,M6N
Chester Elementary School,115 Gowan Avenue,East York,M4K 2E4,M4K
Selwyn Elementary School,1 Selwyn Avenue,East York,M4B 3J9,M4B
George Peck,1 Wayne Avenue,Scarborough,M1R 1Y1,M1R
Cummer Valley,70 Maxome Avenue,North York,M2M 3K1,M2M
Dublin Heights Elementary and,100 Bainbridge Avenue,North York,M3H 2K2,M3H
Queen Victoria,100 Close Avenue,Toronto,M6K 2V3,M6K
Palmerston Avenue,734 Palmerston Avenue,Toronto,M6G 2R4,M6G
Pauline,100 Pauline Avenue,Toronto,M6H 3M8,M6H
Parkdale,78 Seaforth Avenue,Toronto,M6K 3L2,M6K
Jackman Avenue,79 Jackman Avenue,Toronto,M4K 2X5,M4K
Earl Grey Senior,100 Strathcona Avenue,Toronto,M4J 1G8,M4J
William Burgess Elementary School,100 Torrens Avenue,East York,M4J 2P5,M4J
Secord Elementary School,101 Barrington Avenue,East York,M4C 4Y9,M4C
Deer Park,23 Ferndale Avenue,Toronto,M4T 2B4,M4T
Rawlinson Community School,231 Glenholme Avenue,York,M6E 3C7,M6E
Park Lawn,71 Ballacaine Drive,Etobicoke,M8Y 4B6,M8Y
Churchill Heights,749 Brimorton Drive,Scarborough,M1G 2S4,M1G
Bennington Heights Elementary School,76 Bennington Heights Drive,East York,M4G 1B1,M4G
Three Valleys,76 Three Valleys Drive,North York,M3A 3B7,M3A
Roden,151 Hiawatha Road,Toronto,M4L 2Y1,M4L
Birch Cliff,1650 Kingston Road,Scarborough,M1N 1S2,M1N
Diefenbaker Elementary School,175 Plains Road,East York,M4J 2R2,M4J
Glen Ames Senior,18 Williamson Road,Toronto,M4E 1K5,M4E
Galloway Road,192 Galloway Road,West Hill,M1E 1X2,M1E
C D Farquharson,1965 Brimley Road,Agincourt,M1S 2B1,M1S
North Kipling,2 Rowntree Road,Etobicoke,M9V 5C7,M9V
Gulfstream,20 Gulfstream Road,North York,M9M 1S3,M9M
Rene Gordon Elementary Health and Wellness Academy,20 Karen Road,North York,M3A 3L6,M3A
Fleming,20 Littles Road,Scarborough,M1B 5B5,M1B
Rippleton,21 Rippleton Road,North York,M3B 1H4,M3B
Elia,215 Sentinel Road,North York,M3J 1T7,M3J
Millwood,222 Mill Road,Etobicoke,M9C 1Y2,M9C
Guildwood,225 Livingston Road,Scarborough,M1E 1L8,M1E
Willowdale,225 Senlac Road,North York,M2R 1P6,M2R
Edgewood,230 Birkdale Road,Scarborough,M1P 3S4,M1P
J R Wilcox Community School,231 Ava Road,York,M6C 1X3,M6C
St Margaret's,235 Galloway Road,West Hill,M1E 1X5,M1E
Alexander Muir/Gladstone Ave,108 Gladstone Avenue,Toronto,M6J 3L2,M6J
Williamson Road,24 Williamson Road,Toronto,M4E 1K5,M4E
John Buchan Senior,2450 Birchmount Road,Agincourt,M1T 2M5,M1T
Forest Manor,25 Forest Manor Road,North York,M2J 1M4,M2J
Muirhead,25 Muirhead Road,North York,M2J 3W3,M2J
King George,25 Rexford Road,York,M6S 2M2,M6S
Joseph Brant,270 Manse Road,West Hill,M1E 3V4,M1E
Centennial Road,271 Centennial Road,West Hill,M1C 2A2,M1C
Dorset Park,28 Blaisdale Road,Scarborough,M1P 1V6,M1P
Rouge Valley,30 Durnford Road,Scarborough,M1B 4X3,M1B
General Crerar,30 McGregor Road,Scarborough,M1P 1C8,M1P
F H Miller,300 Caledonia Road,York,M6E 4T5,M6E
Maple Leaf,301 Culford Road,North York,M6L 2V4,M6L
Northlea Elementary and,305 Rumsey Road,East York,M4G 1R4,M4G
H A Halbert,31 McCowan Road,Scarborough,M1M 3L7,M1M
Military Trail,701 Military Trail,West Hill,M1E 4P6,M1E
Emily Carr,90 John Tabor Trail,Scarborough,M1B 2V2,M1B
Greenholme,10 Jamestown Crescent,Etobicoke,M9V 3M5,M9V
Portage Trail Community,100 Sidney Belsey Crescent,York,M6M 5H6,M6M
Portage Trail Community,100 Sidney Belsey Crescent,York,M6M 5H6,M6M
John Wanless,245 Fairlawn Avenue,Toronto,M5M 1T2,M5M
Hillmount,245 McNicoll Avenue,North York,M2H 2C6,M2H
Withrow Avenue,25 Bain Avenue,Toronto,M4K 1E5,M4K
Quest Alternative Senior School,25 Bain Avenue,Toronto,M4K 1E5,M4K
Blaydon,25 Blaydon Avenue,North York,M3M 2C9,M3M
