Index,AreaName,Price ($),lat,lng,Address,City
1262,Malvern,369500,43.791836,-79.237404,#17M - 8 Rosebank Dr,Toronto
1263,Emery,599900,43.745125,-79.540535,3369 Weston Rd,Toronto
1264,Don Mills,319000,43.730209,-79.332375,#522 - 120 Dallimore Circ,Toronto
1265,Long Branch,1249900,43.597946,-79.526306,40 Daisy Ave,Toronto
1266,Lansing,2499900,43.760494,-79.418968,153 Harlandale Ave,Toronto
1267,Bridlewood,50000,43.798363,-79.318466,#139 - 2900 Warden Ave,Toronto
1268,Bayview Village,298000,43.766094,-79.385582,#601 - 17 Kenaston Gdns,Toronto
1269,Sunnylea,1790000,43.635227,-79.500961,35 Grenview Blvd,Toronto
1270,Upper Beaches,799000,43.67691,-79.304825,426 Kingston Rd,Toronto
1271,Swansea,339000,43.636292,-79.470467,#1416 - 103 The Queensway Ave,Toronto
1272,Upper Beaches,799000,43.67691,-79.304825,426 Kingston Rd,Toronto
1273,Upper Beaches,799000,43.67691,-79.304825,426 Kingston Rd,Toronto
1274,Morningside,39000,43.784046,-79.204781,2856 Ellesmere Rd,Toronto
1275,Bendale,284800,43.773312,-79.258728,#3005 - 60 Brian Harrison Way,Toronto
1276,Princess - Rosethorn,2799000,43.657253,-79.537888,57 Bywood Dr,Toronto
1277,Port Union,289000,43.783237,-79.169342,#9 - 6063 Kingston Rd,Toronto
1278,York Mills,5300000,43.749496,-79.386871,187 Gordon Rd,Toronto
1279,Islington - City Centre West,479000,43.639202,-79.535423,#3302 - 15 Viking Lane,Toronto
1280,Downtown,568000,43.659328,-79.382675,#817 - 386 Yonge St,Toronto
1281,Midtown Toronto,869900,43.723148,-79.379707,2146 Bayview Ave,Toronto
1282,Humber Summit,660000,43.759514,-79.571335,3011-13 Islington Ave,Toronto
1283,Humber Summit,660000,43.759514,-79.571335,3011-13 Islington Ave,Toronto
1284,Midtown Toronto,488800,43.672985,-79.387032,#515 - 825 Church St,Toronto
1285,Humber Bay Shores,419000,43.626965,-79.478485,#3008 - 16 Brookers Lane,Toronto
1286,Downtown,379900,43.660149,-79.360886,#1701 - 170 Sumach St,Toronto
1287,Bendale,59000,43.767159,-79.270447,#5 - 1157 Ellesmere Rd,Toronto
1288,Lansing,599900,43.760303,-79.411621,#606 - 9 Bogert Ave,Toronto
1289,Jane and Finch,125000,43.754375,-79.510368,#410 - 15 London Green Crt,Toronto
1290,Little Italy,299000,43.655308,-79.41642,656 College St,Toronto
1291,Willowdale,730000,43.760998,-79.410202,#616 - 4789 Yonge St,Toronto
1292,Riverdale,149000,43.677971,-79.348907,507 Danforth Ave,Toronto
1293,Rockcliffe - Smythe,1349000,43.666817,-79.503151,165 Eileen Ave,Toronto
1294,Clairlea - Birchmount,129000,43.71006,-79.261116,72 Moira Ave,Toronto
1295,Fairbank,949900,43.702934,-79.449738,1059 Briar Hill Ave,Toronto
1296,Bloor West Village,29900,43.649807,-79.483337,2406 Bloor  St.  West St,Toronto
1297,Downtown,489000,43.644173,-79.38942,#1008 - 300 FRONT ST W,Toronto
1298,Downtown,1298000,43.65765,-79.376762,#Ph 5 - 155 DALHOUSIE ST,Toronto
1299,Downtown,769000,43.668777,-79.383995,#4002 - 45 CHARLES ST,Toronto
1300,Toronto,269900,43.640209,-79.423943,#1003 - 20 JOE SHUSTER WAY,Toronto
