,AreaName,Price ($),lat,lng,Address,City
2317,Eglinton East,699000,43.739819,-79.248024,17 STRODE DR,Toronto
2318,Rexdale,599000,43.736565,-79.597107,7 ATTILA CRT,Toronto
2319,Rouge,688500,43.805415999999994,-79.18654599999999,7 ROUGE RIVER DR,Toronto
2320,Willowdale,468000,43.760101,-79.40884399999999,#905 - 31 BALES AVE,Toronto
2321,Woburn,338800,43.773685,-79.249619,#709 - 68 GRANGEWAY AVE,Toronto
2322,Weston,485900,43.705288,-79.526894,9 RECTORY RD,Toronto
2323,Willowdale,478000,43.765578999999995,-79.41259000000001,#2109 - 4978 YONGE ST,Toronto
2324,Rexdale,249900,43.758635999999996,-79.58757,#308 - 21 MARKBROOK LANE,Toronto
2325,Golden Mile,359000,43.716156,-79.281998,#221 - 60 MENDELSSOHN ST,Toronto
2326,Nortown,2429000,43.726009000000005,-79.42971800000001,631 ST GERMAIN AVE,Toronto
2327,Old East York,649900,43.693779,-79.322388,75 HOLBORNE AVE,Toronto
2328,Rexdale,669900,43.725483000000004,-79.585327,49 HAWKEDON CRES,Toronto
2329,Jane and Finch,255000,43.764374,-79.49455999999999,#412 - 19 FOUR WINDS DR,Toronto
2330,St. Andrew - Windfields,2388000,43.763935,-79.370956,57 HOPPERTON DR,Toronto
2331,Rexdale,184500,43.733540000000005,-79.592949,#14 - 242 JOHN GARLAND BLVD,Toronto
2332,Newtonbrook,1689000,43.783783,-79.401764,202 PEMBERTON AVE,Toronto
2333,Mimico,659900,43.619488,-79.48820500000001,26 VICTORIA ST,Toronto
2334,Woburn,385000,43.780956,-79.249779,#1604 - 88 CORPORATE DR,Toronto
2335,Highland Creek,859000,43.7897,-79.17645300000001,3528 ELLESMERE RD,Toronto
2336,Steeles,479000,43.815434,-79.325745,#1133 - 25 BAMBURGH CIRC,Toronto
2337,Oakwood Village,659000,43.691177,-79.444824,554 LAUDER AVE,Toronto
2338,Malvern,377500,43.795006,-79.239113,#207 - 1775 MARKHAM RD,Toronto
2339,Don Valley Village,672000,43.788429,-79.355347,102 RUSTY CREST WAY,Toronto
2340,Newtonbrook,395000,43.792667,-79.443939,#310 - 777 STEELES AVE W,Toronto
2341,Leaside,1499000,43.712596999999995,-79.369644,274 RUMSEY RD,Toronto
2342,L'Amoreaux,749888,43.792309,-79.327568,119 CORINTHIAN BLVD,Toronto
2343,Highland Creek,2497000,43.782387,-79.181709,4 HAIDA CRT,Toronto
2344,Bayview Village,314900,43.769611,-79.368416,#3107 - 33 SINGER CRT,Toronto
2345,Midtown Toronto,10000,43.693039,-79.440842,507 OAKWOOD AVE,Toronto
2346,Malvern,475000,43.813889,-79.22135899999999,29 GLANVIL CRES,Toronto
2347,Willowdale,545000,43.757408,-79.406853,#1125 - 5 EVERSON DR,Toronto
2348,Old East York,164900,43.696163,-79.292953,#1406 - 5 MASSEY SQ,Toronto
2349,Malvern,139900,43.805328,-79.22023,#405 - 99 BLACKWELL AVE,Toronto
2350,Don Mills,675000,43.748825,-79.347603,#31 - 1396 DON MILLS RD,Toronto
2351,Highland Creek,869000,43.786201,-79.178551,61 BOBMAR RD,Toronto
2352,Bendale,299900,43.772957,-79.261116,#Th 77 - 83 BOROUGH DR,Toronto
2353,Clairlea,1279900,43.702293,-79.291161,46 B MAYBOURNE AVE,Toronto
2354,Newtonbrook,375800,43.783081,-79.416824,#1107 - 5740 YONGE ST,Toronto
2355,West Hill,730000,43.767239000000004,-79.180832,66 PIPERBROOK CRES,Toronto
2356,Midtown Toronto,349900,43.704834000000005,-79.439888,#1501 - 360 RIDELLE AVE,Toronto
2357,Mimico,429900,43.624485,-79.49047900000001,#725 - 250 MANITOBA ST,Toronto
2358,The Queensway,949900,43.624474,-79.501793,523 C ROYAL YORK RD,Toronto
2359,Jane and Finch,629000,43.744606,-79.50318100000001,52 WATNEY CRES,Toronto
2360,Rockcliffe - Smythe,599000,43.667286,-79.49749,69 BERNICE CRES,Toronto
2361,Newtonbrook,828000,43.803523999999996,-79.377838,77 MINTWOOD DR,Toronto
2362,Willowdale,359000,43.775902,-79.413261,#2606 - 10 NORTHTOWN WAY,Toronto
2363,Bendale,268500,43.774338,-79.25259399999999,#1807 - 61 TOWN CENTRE CRT,Toronto
2364,West Hill,1198000,43.766975,-79.178986,115 A HOMESTEAD RD,Toronto
2365,Jane and Finch,459000,43.751255,-79.528702,#1 - 750 OAKDALE RD,Toronto
2366,Mimico,268000,43.630383,-79.47627299999999,#1007 - 3 MARINE PARADE DR,Toronto
2367,White Haven,749900,43.790119,-79.24427800000001,24 A MASSIE ST,Toronto
2368,Willowdale,455000,43.769829,-79.413467,#1707 - 5168 YONGE ST,Toronto
2369,Willowdale,519500,43.776451,-79.414017,#1829 - 500 DORIS AVE,Toronto
2370,Rexdale,245000,43.74955,-79.58075,#407 - 5 ROWNTREE RD,Toronto
2371,Malvern,125000,43.805328,-79.22023,#310 - 99 BLACKWELL AVE,Toronto
2372,Mimico,675000,43.621376,-79.483429,#Ph 2 - 15 LEGION RD,Toronto
2373,Rexdale,299999,43.744343,-79.587379,#301 - 45 SILVERSTONE DR,Toronto
2374,Rexdale,424999,43.742409,-79.598518,#52 - 1667 ALBION RD,Toronto
2375,Malvern,339000,43.795254,-79.239372,#105 - 1795 MARKHAM RD,Toronto
2376,Milliken,299000,43.806938,-79.29091600000001,#D12 - 63 SILVER STAR BLVD,Toronto
2377,Ben Jungle,795000,43.761955,-79.23864,43 BENLIGHT CRES,Toronto
2378,Dorset Park,269000,43.75235,-79.265923,#514 - 1470 MIDLAND AVE,Toronto
2379,Bendale,435000,43.772877,-79.25395999999999,#1910 - 190 BOROUGH DR,Toronto
2380,Toronto,30000,43.741619,-79.261101,1051 MIDLAND AVE,Toronto
2381,Brookhaven - Amesbury,449900,43.698521,-79.497978,69 STEWART SMITH DR,Toronto
2382,Henry Farm,369888,43.774895,-79.345955,#407 - 70 FOREST MANOR RD,Toronto
2383,Woburn,615000,43.757694,-79.222122,7 VAN ALLAN RD,Toronto
2384,Highland Creek,999000,43.785759000000006,-79.182869,42 CONLINS RD,Toronto
2385,Downsview,399000,43.726418,-79.47994200000001,#615 - 15 JAMES FINLAY WAY,Toronto
2386,The Kingsway,1879000,43.659264,-79.510025,548 PRINCE EDWARD DR N,Toronto
2387,Old East York,184000,43.69614,-79.294983,#3012 - 1 MASSEY SQ,Toronto
2388,Bendale,799000,43.761456,-79.250458,31 MELDAZY DR,Toronto
2389,Don Mills,499900,43.739239000000005,-79.344574,#113 - 1200 DON MILLS RD,Toronto
2390,White Haven,879900,43.789085,-79.251717,7 GLENSTROKE DR,Toronto
2391,Wilson Heights,999000,43.754162,-79.440613,30 ALEXIS BLVD,Toronto
2392,Humber Bay,669000,43.632587,-79.485214,42 STEPHEN DR,Toronto
2393,Morningside,435000,43.788143,-79.207649,#15 - 431 MILITARY TR,Toronto
