,AreaName,Price ($),lat,lng,Address,City,Postal Code,FSA
187,Downtown,329000,43.664848,-79.37529,#108 - 60 HOMEWOOD AVE,Toronto,M4Y 2X4,M4Y
189,Milliken,230000,43.82214,-79.298508,633 SILVER STAR BLVD,Toronto,M1V 5N1,M1V
190,Bathurst Manor,998000,43.763023,-79.452744,34 PANNAHILL RD,Toronto,M3H 4N5,M3H
191,Pleasant View,838888,43.781208,-79.337822,38 ENDSLEIGH CRES,Toronto,M2J 3N7,M2J
192,Briar Hill - Belgravia,649900,43.695553,-79.458168,36 RONALD AVE,Toronto,M6E 4M6,M6E
193,Toronto,269000,43.653225,-79.383186,#309 - 100 LEEWARD GLWY,Toronto,M5G 1P5,M5G
194,Rexdale,318880,43.724766,-79.616486,#2824 - 700 HUMBERWOOD BLVD,Toronto,M9W 7J4,M9W
195,Black Creek,1200000,43.762085,-79.516373,14 STONG CRT,Toronto,M3N 1N9,M3N
197,Bayview Village,299900,43.766602,-79.382492,#222 - 18 REAN DR,Toronto,M2K,M2K
198,Eglinton East,149000,43.739429,-79.237755,2906 EGLINTON AVE,Toronto,M1J 2E4,M1J
199,Midtown Toronto,749999,43.673889,-79.390732,#312 - 3 MCALPINE ST,Toronto,M5R 3T5,M5R
200,Highland Creek,749900,43.791893,-79.180328,42 PARADE SQ,Toronto,M1C 3T6,M1C
201,Rexdale,322000,43.731674,-79.576454,#409 - 80 ESTHER LORRIE DR,Toronto,M9W 4L7,M9W
202,Brockton Village,749900,43.653545,-79.438675,128 MARGUERETTA ST,Toronto,M6H 3S3,M6H
203,Rexdale,529900,43.737782,-79.57383,20 LIGHTWOOD DR,Toronto,M9V 2Z2,M9V
204,Don Valley Village,569000,43.790806,-79.358597,133 ROCK FERN WAY,Toronto,M2J 4N3,M2J
205,Milliken,719000,43.80785,-79.280525,124 CAROLBREEN SQ,Toronto,M1V 1H5,M1V
206,Englemount - Lawrence,1760000,43.719898,-79.436478,27 BROOKVIEW DR,Toronto,M6A 2K4,M6A
