,AreaName,Price ($),lat,lng,Address,City,Postal Code,FSA
168,Edenbridge - Humber Valley,4495000,43.675777,-79.520844,95 Valecrest Dr,Toronto,M9A 4P5,M9A
169,Midtown Toronto,449990,43.696835,-79.393997,#505 - 68 MERTON ST,Toronto,M4S 0A7,M4S
170,Rouge,1,43.824635,-79.247475,#1 &amp; 2 - 2901 MARKHAM RD,Toronto,M1X 0B6,M1X
171,Bloor West Village,80000,43.649708,-79.483772,2422 BLOOR ST W,Toronto,M6S 1P9,M6S
172,Armdale,300,43.830791,-79.24955,#B-201 - 833 Passmore Ave,Toronto,M1X 0A2,M1X
173,Willowdale,468000,43.773746,-79.415512,#802 - 68 CANTERBURY PL,Toronto,M2N 1Y7,M2N
174,Armdale,300,43.830791,-79.24955,#F-104 - 865 Passmore Ave,Toronto,M1X 0A2,M1X
175,Downtown,355000,43.652222,-79.370872,#403 - 105 GEORGE ST,Toronto,M5A 0L4,M5A
176,Midtown Toronto,339000,43.705814,-79.402184,#B03 - 115 LEBOVIC AVE,Toronto,M4R 1A4,M4R
177,Armdale,220,43.830791,-79.24955,#E-106 - 855 Passmore Ave,Toronto,M1X 0A2,M1X
178,Parkdale,105000,43.640736,-79.434357,265 DUNN AVE,Toronto,M6K 2S1,M6K
179,Midtown Toronto,540000,43.673172,-79.389687,#1404 - 32 DAVENPORT RD,Toronto,M5R 0B5,M5R
180,Downtown,548800,43.659683,-79.386063,#907 - 750 BAY ST,Toronto,M5G 2J9,M5G
181,Armdale,220,43.830791,-79.24955,#E-105 - 855 Passmore Ave,Toronto,M1X 0A2,M1X
182,Midtown Toronto,468990,43.696835,-79.393997,#1302 - 68 MERTON ST,Toronto,M4S 0A7,M4S
183,Downtown,199000,43.666531,-79.385597,5 Irwin Ave,Toronto,M4Y 1K9,M4Y
184,Wallace Emerson,68888,43.659431,-79.438057,1196 BLOOR ST W,Toronto,M6H 1N2,M6H
185,Downtown,350000,43.647514,-79.3927,#3105 - 101 PETER ST,Toronto,M5V 0G6,M5V
186,Leslieville,1100000,43.672081,-79.323654,1396 GERRARD ST S,Toronto,M4L 1Z4,M4L
187,Birch Cliff,130000,43.689007,-79.278374,2560 GERRARD ST E,Toronto,M1N 1W8,M1N
188,Downtown,435000,43.659237,-79.382904,#72 - 384 YONGE ST,Toronto,M5B 1S9,M5B
189,Downtown,355000,43.653519,-79.373772,#802 - 127 QUEEN ST E,Toronto,M5C 1S1,M5C
190,Downtown,1049900,43.642578,-79.3769,#5303 - 16 HARBOUR ST,Toronto,M5J 2Y4,M5J
191,Downtown,1050000,43.652431,-79.362877,#108 - 393 KING ST,Toronto,M5A 1L3,M5A
193,Downtown,319800,43.659824,-79.362724,#1101 - 225 SACKVILLE ST E,Toronto,M5A 0B9,M5A
194,Downtown,578000,43.659328,-79.382675,#1121 - 386 YONGE ST,Toronto,M5G 2K2,M5G
195,Cliffside,539900,43.704655,-79.251816,#6 - 2229 KINGSTON RD,Toronto,M1N 1T8,M1N
196,Downtown,219000,43.650112,-79.374916,92 KING ST E,Toronto,M5C 2V8,M5C
197,Downtown,459800,43.655293,-79.375336,#903 - 76 SHUTER ST,Toronto,M5B 1B4,M5B
198,Mount Pleasant East,1599900,43.701202,-79.383499,4 BELLE AYRE BLVD,Toronto,M4S 2P7,M4S
